city,country,latitude,longitude,temperature,humidity,windspeed,cloudiness
Nova Prata,BR,-28.7839,-51.61,81.0,40,5.99,94
Hirara,JP,24.8,125.2833,71.83,80,18.63,78
Santa Clara,CU,22.4,-79.9667,89.6,43,11.5,40
Danjiangkou,CN,32.5428,111.5086,52.59,90,6.2,50
Pochutla,MX,15.7432,-96.4661,90.34,35,9.33,20
Baykit,RU,61.67,96.37,7.5,99,1.72,95
Sabang,ID,5.8933,95.3214,81.84,75,5.68,100
Glazov,RU,58.1394,52.6584,32.27,93,4.79,100
Qingquan,CN,30.4511,115.2559,61.02,95,6.44,98
Bathsheba,BB,13.2167,-59.5167,84.2,54,24.16,40
Lima,PE,-12.0432,-77.0282,72.7,68,8.05,0
Guastatoya,GT,14.8539,-90.0647,86.54,41,9.22,40
Puyang,CN,29.4603,119.8861,58.21,92,2.8,19
Kalmunai,LK,7.4167,81.8167,80.29,81,4.21,100
Ilulissat,GL,69.2167,-51.1,-11.2,53,2.66,1
Diplo,PK,24.4667,69.584,83.17,21,12.53,0
Rexburg,US,43.826,-111.7897,35.82,80,2.46,90
Ponta do Sol,PT,32.6667,-17.1,65.03,88,10.36,40
Meulaboh,ID,4.1363,96.1285,76.48,84,3.94,99
Arua,UG,3.0201,30.9111,67.12,84,17.43,100
Antalaha,MG,-14.9003,50.2788,79.61,81,3.33,97
Daru,PG,-9.0763,143.2092,78.1,89,4.21,100
Uvinza,TZ,-5.1036,30.3911,66.34,96,3.62,97
Beyneu,KZ,45.3167,55.2,43.27,61,17.83,9
Carazinho,BR,-28.2839,-52.7864,87.26,42,11.61,58
Lamar,US,33.6668,-95.5836,72.32,49,1.99,0
Romanovka,RU,51.7443,42.7527,33.64,99,7.83,100
Bilibino,RU,68.0546,166.4372,-27.96,99,2.48,95
São Filipe,CV,14.8961,-24.4956,70.48,77,15.7,8
Jay,US,44.5039,-70.2162,47.32,97,3.18,100
Cidreira,BR,-30.1811,-50.2056,82.18,65,8.05,63
Chernyshevskiy,RU,63.0128,112.4714,-2.24,99,4.5,43
Hobyo,SO,5.3505,48.5268,80.19,70,13.31,29
Tonantins,BR,-2.8731,-67.8022,89.69,54,4.38,90
Angren,UZ,41.0167,70.1436,52.75,78,4.72,98
Bay Roberts,CA,47.5999,-53.2648,49.41,79,5.99,100
Gombe,NG,10.2897,11.1673,93.2,10,13.8,84
Flinders,AU,-34.5833,150.8552,63.41,89,1.01,100
Potam,MX,27.6,-110.3833,70.25,26,6.91,1
Guerrero Negro,MX,27.9769,-114.0611,62.82,53,14.27,13
Richards Bay,ZA,-28.783,32.0377,67.8,94,2.73,86
Saint-Pierre,RE,-21.3393,55.4781,76.26,78,3.44,75
Sarny,UA,51.338,26.6019,39.15,77,2.95,86
Porto-Novo,BJ,6.4965,2.6036,86.0,74,13.8,20
Artyom,AZ,40.4723,50.333,50.0,87,9.22,90
Blatec,MK,41.8378,22.5781,31.73,91,2.8,50
Anadyr,RU,64.75,177.4833,3.09,78,13.42,75
Gorontalo,ID,0.5412,123.0595,74.71,96,4.12,100
Ellisras,ZA,-23.6649,27.7443,72.41,32,5.08,0
Broken Hill,AU,-31.95,141.4333,60.8,77,11.5,19
Beitbridge,ZW,-22.2167,30.0,83.34,30,3.42,1
